alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
"Sawangan, Depok",800000000,3,100,90
"Sukmajaya, Depok",700000000,2,84,94
"Cilodong, Depok",643800000,2,48,45
"Sawangan, Depok",300000000,2,36,60
"Cilodong, Depok",625000000,3,90,50
"Depok Jaya, Depok",2200000000,5,190,185
"Tapos, Depok",1380000000,2,78,90
"Depok, Depok",692000000,3,46,60
"Tapos, Depok",600000000,3,120,65
"Beji, Depok",789600000,2,58,50
"Sukmajaya, Depok",1180000000,2,38,90
"Sawangan, Depok",658000000,3,107,67
"Sawangan, Depok",500000000,2,45,72
"Cinere, Depok",1070000000,2,90,40
"Sawangan Baru, Depok",295000000,2,36,50
"Cinere, Depok",450000000,1,38,42
"Depok, Depok",900000000,3,78,65
"Pancoran Mas, Depok",1290000000,3,120,105
"Pancoran Mas, Depok",2700000000,5,200,171
"Cipayung, Depok",1800000000,2,150,150
"Pancoran Mas, Depok",24000000000,2,355,2304
"Bojongsari Baru, Depok",900000000,3,78,65
"Cimanggis, Depok",985000000,3,80,50
"Limo, Depok",650000000,2,56,72
"Sawangan, Depok",700000000,3,120,120
"Cilodong, Depok",1340000000,3,120,129
"Sawangan, Depok",870000000,2,70,96
"Sawangan, Depok",953600000,3,60,66
"Depok, Depok",545000000,3,60,60
"Sawangan, Depok",395000000,2,40,75
"Cinere, Depok",2000000000,4,200,169
"Pancoran Mas, Depok",499000000,3,50,70
"Sawangan, Depok",500000000,2,65,90
"Sawangan, Depok",540000000,2,36,75
"Sawangan, Depok",590000000,2,40,72
"Cinere, Depok",1720000000,4,160,144
"Sawangan, Depok",1020000000,2,72,60
"Sawangan, Depok",700000000,2,45,146
"Cinangka, Depok",1200000000,2,80,185
"Sawangan, Depok",1060000000,4,120,90
"Cinere, Depok",1610000000,2,72,102
"Sawangan, Depok",1180000000,3,110,134
"Sawangan, Depok",2140000000,4,215,160
"Sawangan, Depok",820000000,3,76,96
"Beji, Depok",2320470000,10,240,82
"Cimanggis, Depok",750000000,3,60,93
"Cinere, Depok",374000000,2,36,50
"Cinere, Depok",2247000000,3,101,105
"Sawangan, Depok",700000000,2,36,67
"Sawangan, Depok",1180000000,4,140,105
"Sukmajaya, Depok",1160000000,2,45,98
"Cinere, Depok",2680000000,5,200,320
"Sawangan, Depok",970000000,2,83,83
"Cinere, Depok",2680000000,5,190,230
"Limo, Depok",1640000000,3,95,84
"Sawangan, Depok",2300000000,3,109,112
"Sawangan, Depok",1070000000,3,100,133
"Cimanggis, Depok",3000000000,4,101,232
"Sawangan, Depok",970000000,3,135,72
"Sawangan, Depok",1610000000,3,150,200
"Sawangan, Depok",640000000,2,50,87
"Sawangan, Depok",810000000,2,80,103
"Cilodong, Depok",1340000000,4,100,90
"Sawangan, Depok",1880000000,3,81,128
"Cinere, Depok",1720000000,4,130,76
Depok,780000000,3,150,90
"Cimanggis, Depok",2360000000,3,160,128
"Cinangka, Depok",1500000000,3,72,90
"Cilodong, Depok",765000000,3,56,60
"Cimanggis, Depok",1620000000,4,130,105
Depok,1081000000,4,72,60
"Cimanggis, Depok",920000000,2,70,84
"Tapos, Depok",990000000,2,56,64
"Bojongsari, Depok",960000000,3,85,119
"Tapos, Depok",2198000000,3,91,96
"Sukmajaya, Depok",1530000000,3,70,90
"Bojongsari, Depok",1948000000,2,75,106
"Sawangan, Depok",2129000000,4,180,120
"Pancoran Mas, Depok",1039940000,3,81,58
"Bojongsari, Depok",1267500000,3,75,84
"Pancoran Mas, Depok",1039940000,3,81,58
"Bojongsari, Depok",420000000,2,36,71
"Beji, Depok",1020000000,3,909,87
"Beji, Depok",1340000000,3,100,90
"Beji, Depok",1610000000,4,192,96
"Cinere, Depok",2680000000,5,158,191
"Cilodong, Depok",1020000000,2,84,138
Depok,1040000000,3,61,83
"Cimanggis, Depok",850000000,3,61,72
"Sukmajaya, Depok",1530000000,3,70,90
"Sukmajaya, Depok",710000000,2,50,83
"Margonda, Depok",16000000000,10,256,660
"Cinere, Depok",6000000000,6,420,500
"Sawangan, Depok",590000000,2,72,45
"Depok, Depok",1300000000,3,75,92
"Tapos, Depok",1912000000,2,89,85
"Cilodong, Depok",1150000000,5,180,90
"Cimanggis, Depok",1290000000,3,100,185
"Tapos, Depok",2849000000,3,128,117
"Tapos, Depok",2695400000,3,128,119
"Cinere, Depok",4500000000,3,248,250
"Ratujaya, Depok",150000000,2,40,60
"Beji, Depok",1420000000,2,110,136
"Tanah Baru, Depok",874000000,3,61,66
"Kemiri Muka, Depok",3000000000,6,300,300
"Bojongsari, Depok",1069606773,3,85,84
"Pancoran Mas, Depok",2788000000,4,124,134
"Tapos, Depok",3453200000,3,165,153
"Tapos, Depok",2198000000,3,91,96
"Tapos, Depok",990000000,2,56,64
"Tapos, Depok",1912000000,2,89,85
"Bojongsari, Depok",1069606773,3,85,84
"Rangkapan Jaya, Depok",825000000,2,40,107
Depok,800000000,3,80,69
"Depok, Depok",1250000000,3,100,78
"Tapos, Depok",734250000,2,40,85
"Cimanggis, Depok",1400000000,3,90,180
"Cimanggis, Depok",550000000,2,36,61
"Tapos, Depok",565000000,2,40,63
